Team,Group,1st,2nd,3rd,4th
Netherlands,A,0.613321007,0.239353479,0.121962993,0.025362522
Senegal,A,0.213126869,0.337900295,0.29914527,0.149827566
Ecuador,A,0.132164152,0.310785987,0.335703038,0.221346823
Qatar,A,0.047888964,0.110233833,0.23985345,0.602023753
England,B,0.657043713,0.238072195,0.087132207,0.017751885
USA,B,0.146906135,0.337316621,0.360920776,0.154856468
Wales,B,0.14962361,0.298700428,0.370296802,0.18137916
Iran,B,0.04732287,0.124120986,0.179768382,0.648787763
Argentina,C,0.656508906,0.223630342,0.094276105,0.025584647
Poland,C,0.161925115,0.321893041,0.378879859,0.137301986
Mexico,C,0.154884892,0.328933263,0.373387779,0.142794065
Saudi Arabia,C,0.034958654,0.122145615,0.146536115,0.696359616
France,D,0.630013765,0.243599102,0.104005832,0.0223813
Denmark,D,0.254705707,0.407524415,0.277822886,0.059946992
Australia,D,0.059916598,0.17375647,0.33463787,0.431689063
Tunisia,D,0.059916598,0.17375647,0.281542423,0.484784509
Spain,E,0.484164161,0.369693978,0.128433881,0.017707979
Germany,E,0.430468271,0.411456823,0.133027494,0.025047413
Japan,E,0.069387472,0.119637833,0.477728203,0.333246493
Costa Rica,E,0.017655084,0.100272528,0.260090559,0.621981829
Belgium,F,0.603011804,0.251330609,0.114375091,0.031282496
Croatia,F,0.237446918,0.357325161,0.293595553,0.111632369
Canada,F,0.08162412,0.187574053,0.301982622,0.428819205
Morocco,F,0.081297041,0.20307208,0.288530015,0.427100864
Brazil,G,0.676820612,0.195388216,0.109616373,0.018174799
Serbia,G,0.13671091,0.325044243,0.315191686,0.223053161
Switzerland,G,0.13671091,0.325044243,0.315191686,0.223053161
Cameroon,G,0.060821689,0.149877295,0.254871095,0.534429921
Portugal,H,0.54239007,0.249159653,0.177294485,0.031155792
Uruguay,H,0.301704365,0.322691383,0.262545985,0.113058267
South Korea,H,0.082895045,0.207431164,0.295494826,0.414178966
Ghana,H,0.070141961,0.220184247,0.265189048,0.444484744
